"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Human immunodeficiency virus [HIV] disease [B20-B24]","Number of deaths","Number","223","units","0","v41341066","1.1.1.13.2","137","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Human immunodeficiency virus [HIV] disease [B20-B24]","Number of deaths","Number","223","units","0","v41341066","1.1.1.13.2","137","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Human immunodeficiency virus [HIV] disease [B20-B24]","Number of deaths","Number","223","units","0","v41341066","1.1.1.13.2","126","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Human immunodeficiency virus [HIV] disease [B20-B24]","Number of deaths","Number","223","units","0","v41341066","1.1.1.13.2","128","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","43","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","42","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","44","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","43","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","45","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","44","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","43","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","46","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","46","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","43","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","46","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","45","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","47","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","45","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","47","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Rank of leading causes of death","Number","223","units","0","v41341067","1.1.1.14.1","48","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","2","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","4","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","3","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","0","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malaria [B50-B54]","Number of deaths","Number","223","units","0","v41341068","1.1.1.14.2","1","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Rank of leading causes of death","Number","223","units","0","v41341069","1.1.1.15.1","1","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","71114","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","71887","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","72740","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","74377","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","75131","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","77009","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","77087","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","79141","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","80088","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","79815","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","80476","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","81362","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","83118","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","84043","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","84858","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Malignant neoplasms [C00-C97]","Number of deaths","Number","223","units","0","v41341070","1.1.1.15.2","85589","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","17","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","17","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","17","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","16","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","14","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","16","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","17","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","17","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","16","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Rank of leading causes of death","Number","223","units","0","v41341071","1.1.1.16.1","16","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1447","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1351","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1437","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1470","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1535","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1538","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1526","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1633","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1609","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1754","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1770","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1871","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1800","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1841","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","2023","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Number of deaths","Number","223","units","0","v41341072","1.1.1.16.2","1935","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","23","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","23","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","23","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","23","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","21","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","21","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","20","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","21","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","21","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","21","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Rank of leading causes of death","Number","223","units","0","v41341073","1.1.1.17.1","22","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","525","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","480","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","541","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","476","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","504","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","460","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","471","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","475","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","543","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","524","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","547","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","623","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","646","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","664","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","677","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Anaemias [D50-D64]","Number of deaths","Number","223","units","0","v41341074","1.1.1.17.2","609","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
